"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second)
"(34, 22)","(51, 16)","(69, 28)","(68, 43)","(52, 48)","(32, 37)",,,,
"(34, 22)","(52, 16)","(69, 28)","(68, 43)","(52, 48)","(32, 37)",,,,
"(33, 23)","(52, 16)","(68, 25)","(68, 43)","(44, 46)","(32, 37)",,,,
"(33, 23)","(52, 16)","(68, 25)","(68, 43)","(44, 46)","(32, 37)",,,,
"(33, 23)","(52, 16)","(68, 25)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(34, 44)","(47, 51)","(70, 48)","(71, 23)","(54, 14)",,,,
"(31, 19)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(33, 17)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(31, 20)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(31, 19)","(33, 44)","(47, 51)","(71, 46)","(69, 21)","(55, 14)",,,,
"(31, 19)","(33, 44)","(47, 51)","(71, 46)","(69, 21)","(55, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 39)","(33, 25)",,,,
"(34, 23)","(49, 17)","(66, 23)","(68, 43)","(49, 48)","(35, 41)",,,,
"(30, 20)","(34, 44)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(33, 24)","(48, 17)","(69, 27)","(68, 43)","(51, 48)","(33, 38)",,,,
"(33, 24)","(48, 17)","(69, 27)","(68, 43)","(51, 48)","(33, 38)",,,,
"(33, 24)","(48, 17)","(69, 27)","(68, 43)","(51, 48)","(33, 38)",,,,
"(32, 16)","(32, 43)","(47, 51)","(72, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(73, 45)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 39)","(33, 24)",,,,
"(31, 19)","(34, 44)","(48, 51)","(71, 45)","(69, 21)","(55, 14)",,,,
"(33, 23)","(55, 17)","(68, 25)","(69, 42)","(50, 48)","(33, 38)",,,,
"(33, 23)","(49, 17)","(64, 22)","(69, 42)","(50, 48)","(33, 38)",,,,
"(30, 20)","(34, 44)","(47, 51)","(73, 44)","(70, 22)","(52, 13)",,,,
"(53, 16)","(68, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 23)",,,,
"(32, 16)","(30, 41)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(32, 15)","(30, 41)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(70, 48)","(70, 22)","(54, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(70, 48)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(72, 46)","(69, 21)","(54, 14)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 48)","(70, 22)","(54, 14)",,,,
"(32, 17)","(30, 40)","(47, 51)","(71, 46)","(70, 21)","(53, 14)",,,,
"(32, 17)","(30, 40)","(47, 51)","(71, 46)","(70, 21)","(54, 14)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 15)","(33, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
