"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 43)","(26, 21)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 43)","(26, 21)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 43)","(26, 21)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 43)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 41)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 34)","(26, 21)"
"(46, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(46, 20)","(55, 32)","(49, 48)","(25, 55)","(13, 35)","(25, 20)"
"(42, 19)","(55, 32)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(43, 19)","(55, 32)","(46, 51)","(27, 56)","(12, 37)","(25, 20)"
"(43, 19)","(55, 32)","(46, 51)","(27, 56)","(12, 37)","(25, 20)"
"(43, 19)","(55, 32)","(46, 51)","(27, 56)","(12, 37)","(25, 20)"
"(42, 19)","(54, 37)","(46, 51)","(27, 56)","(13, 36)","(26, 21)"
"(42, 19)","(53, 39)","(46, 51)","(27, 56)","(13, 36)","(26, 21)"
"(42, 19)","(55, 32)","(50, 46)","(27, 56)","(13, 36)","(25, 20)"
"(42, 19)","(55, 32)","(50, 46)","(27, 56)","(12, 37)","(25, 20)"
"(42, 19)","(55, 32)","(50, 46)","(27, 56)","(12, 37)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(11, 38)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(11, 38)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(11, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(28, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(28, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(11, 38)","(24, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(26, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(26, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(26, 21)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(26, 21)"
"(42, 19)","(55, 32)","(50, 46)","(25, 55)","(12, 38)","(26, 21)"
