"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(51, 27)","(73, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 23)","(47, 43)","(72, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(52, 25)","(70, 20)","(82, 26)","(87, 46)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(82, 26)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(65, 55)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(75, 22)","(86, 29)","(87, 45)","(62, 50)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(52, 25)","(70, 20)","(83, 27)","(87, 45)","(71, 51)","(50, 41)",,,,,,,
"(52, 25)","(70, 20)","(83, 27)","(87, 45)","(71, 51)","(50, 41)",,,,,,,
"(51, 27)","(68, 20)","(83, 26)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(48, 23)","(47, 43)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(48, 23)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 26)","(66, 21)","(82, 26)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(50, 47)","(68, 55)","(90, 48)","(87, 25)","(69, 17)",,,,,,,
"(51, 26)","(66, 21)","(82, 26)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(50, 47)","(63, 54)","(90, 48)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(66, 21)","(82, 26)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(48, 23)","(47, 43)","(58, 52)","(90, 48)","(87, 25)","(69, 17)",,,,,,,
"(51, 26)","(69, 20)","(87, 31)","(86, 47)","(62, 50)","(50, 41)",,,,,,,
"(49, 22)","(50, 47)","(63, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(83, 27)","(86, 47)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(73, 21)","(86, 29)","(86, 47)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(82, 26)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 52)","(89, 27)","(69, 17)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 52)","(87, 25)","(71, 17)",,,,,,,
"(50, 28)","(71, 20)","(86, 29)","(87, 44)","(63, 50)","(51, 42)",,,,,,,
"(49, 22)","(51, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(50, 28)","(71, 20)","(86, 29)","(87, 45)","(63, 50)","(50, 41)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 50)","(86, 24)","(71, 17)",,,,,,,
"(71, 20)","(86, 29)","(87, 45)","(68, 52)","(50, 41)","(50, 28)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(85, 24)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(86, 24)","(70, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 46)","(72, 51)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 46)","(71, 51)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 46)","(72, 51)","(51, 42)",,,,,,,
"(48, 24)","(51, 47)","(65, 55)","(90, 50)","(87, 25)","(69, 17)",,,,,,,
"(52, 26)","(72, 21)","(84, 27)","(86, 47)","(66, 51)","(54, 45)",,,,,,,
"(48, 24)","(47, 43)","(60, 53)","(90, 48)","(89, 26)","(71, 17)",,,,,,,
"(51, 27)","(73, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(52, 26)","(70, 20)","(83, 26)","(87, 45)","(72, 51)","(51, 42)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 51)","(87, 25)","(71, 17)",,,,,,,
"(52, 26)","(69, 20)","(83, 26)","(86, 47)","(66, 51)","(54, 45)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 46)","(72, 51)","(51, 42)",,,,,,,
"(48, 24)","(47, 44)","(72, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 26)","(67, 21)","(82, 26)","(86, 46)","(72, 51)","(51, 42)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(49, 22)","(49, 46)","(66, 55)","(89, 50)","(85, 24)","(71, 17)",,,,,,,
"(50, 28)","(70, 20)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(49, 22)","(49, 46)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(90, 48)","(86, 24)","(71, 17)",,,,,,,
"(49, 22)","(49, 46)","(64, 54)","(88, 51)","(85, 24)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(63, 54)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(65, 55)","(89, 50)","(85, 24)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(65, 55)","(89, 50)","(86, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(47, 44)","(60, 53)","(89, 49)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(63, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(70, 17)","(50, 22)","(48, 45)","(68, 55)","(90, 48)","(89, 27)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(70, 17)","(47, 28)","(48, 45)","(65, 55)","(90, 48)","(89, 27)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(70, 17)","(47, 28)","(48, 45)","(65, 55)","(90, 48)","(89, 27)",,,,,,,
"(50, 20)","(50, 47)","(63, 54)","(89, 50)","(86, 25)","(68, 17)",,,,,,,
"(49, 22)","(49, 46)","(63, 54)","(89, 50)","(86, 25)","(68, 17)",,,,,,,
"(51, 27)","(73, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(63, 54)","(89, 50)","(87, 25)","(72, 17)",,,,,,,
"(51, 27)","(68, 20)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(63, 54)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(48, 24)","(49, 46)","(68, 55)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(48, 24)","(49, 46)","(68, 55)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(52, 26)","(66, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(66, 55)","(89, 50)","(89, 27)","(72, 17)",,,,,,,
"(51, 27)","(67, 21)","(82, 26)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(66, 55)","(89, 50)","(86, 25)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(51, 41)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(51, 41)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(90, 48)","(86, 25)","(70, 17)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(90, 48)","(87, 25)","(72, 18)",,,,,,,
"(49, 22)","(52, 48)","(68, 55)","(90, 48)","(87, 25)","(72, 18)",,,,,,,
"(70, 20)","(86, 30)","(87, 45)","(68, 52)","(51, 42)","(50, 29)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(85, 24)","(70, 17)",,,,,,,
"(49, 21)","(50, 47)","(64, 54)","(89, 50)","(85, 24)","(70, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(85, 24)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(82, 26)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(49, 23)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(49, 23)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(91, 48)","(87, 25)","(69, 17)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(68, 52)","(51, 41)",,,,,,,
"(49, 22)","(52, 48)","(65, 55)","(91, 48)","(87, 25)","(72, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(86, 47)","(68, 52)","(51, 42)",,,,,,,
"(49, 22)","(52, 48)","(65, 55)","(91, 48)","(87, 25)","(72, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(62, 50)","(51, 41)",,,,,,,
"(50, 20)","(50, 47)","(65, 55)","(88, 51)","(88, 26)","(70, 17)",,,,,,,
"(70, 20)","(86, 29)","(87, 45)","(68, 52)","(52, 43)","(50, 29)",,,,,,,
"(50, 20)","(50, 47)","(65, 55)","(88, 51)","(88, 26)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(51, 41)",,,,,,,
"(51, 27)","(66, 21)","(84, 27)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(65, 55)","(91, 49)","(86, 24)","(72, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 31)","(87, 45)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(87, 25)","(72, 17)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(48, 23)","(51, 47)","(64, 54)","(88, 52)","(88, 26)","(73, 18)",,,,,,,
"(50, 29)","(72, 21)","(86, 29)","(87, 44)","(65, 51)","(51, 42)",,,,,,,
"(48, 23)","(47, 43)","(58, 52)","(91, 48)","(87, 25)","(69, 17)",,,,,,,
"(51, 26)","(70, 20)","(87, 31)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(49, 21)","(47, 43)","(58, 52)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
