"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(65, 39)","(76, 47)","(76, 63)","(61, 68)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(65, 39)","(76, 47)","(76, 63)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(60, 37)","(75, 45)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(60, 37)","(75, 45)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(72, 43)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(71, 42)","(76, 62)","(61, 68)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(61, 37)","(76, 47)","(76, 62)","(50, 66)","(39, 58)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(73, 43)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 44)","(61, 37)","(75, 45)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(37, 40)","(39, 63)","(55, 71)","(79, 65)","(75, 41)","(61, 34)","(57, 52)",,,,,,,
"(60, 33)","(37, 40)","(38, 62)","(55, 71)","(79, 65)","(78, 44)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(73, 43)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(37, 40)","(39, 63)","(55, 71)","(79, 66)","(76, 42)","(61, 34)","(57, 52)",,,,,,,
"(40, 43)","(65, 39)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
