"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(209, 61)","(194, 54)"
"(193, 6)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(210, 62)","(194, 54)"
"(193, 6)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(213, 84)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(199, 41)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 9)","(204, 22)","(195, 40)","(176, 46)","(163, 33)","(173, 13)"
"(194, 7)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(205, 31)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(173, 63)","(189, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
